ATTOM_ID,Address,YrBuilt,Size,AVM_Value,Baxer_Appraised,biased
814882,"921 W GRAMERCY PL, SAN ANTONIO, TX 78201",1915,1532,306271,231932,1
814883,"1025 W MULBERRY AVE, SAN ANTONIO, TX 78201",1920,1573,300337,281000,1
814884,"940 W SUMMIT AVE, SAN ANTONIO, TX 78201",1917,1206,297528,273640,1
814885,"928 W SUMMIT AVE, SAN ANTONIO, TX 78201",1915,2856,467150,419250,1
814886,"944 W SUMMIT AVE, SAN ANTONIO, TX 78201",1917,1564,283821,187194,0
814887,"924 W SUMMIT AVE, SAN ANTONIO, TX 78201",1917,1796,319273,297814,1
814888,"935 W SUMMIT AVE, SAN ANTONIO, TX 78201",1918,1163,194510,191949,1
814889,"939 W SUMMIT AVE, SAN ANTONIO, TX 78201",1922,2359,447979,365000,0
814890,"918 W SUMMIT AVE, SAN ANTONIO, TX 78201",1920,1248,242831,242690,1
814891,"941 W SUMMIT AVE, SAN ANTONIO, TX 78201",1920,1034,336767,259590,0
814892,"931 W SUMMIT AVE, SAN ANTONIO, TX 78201",1922,2352,394002,305853,0
814893,"945 W SUMMIT AVE, SAN ANTONIO, TX 78201",1918,1679,386633,327890,1
856698,"338 PRINCETON AVE, SAN ANTONIO, TX 78201",1923,1190,219025,213630,1
856699,"1827 W LAUREL, SAN ANTONIO, TX 78201",1925,1556,265500,210000,1
856703,"129 JEFFREY, SAN ANTONIO, TX 78201",1930,1180,171719,178750,1
856705,"133 JEFFREY, SAN ANTONIO, TX 78201",1930,1210,169174,138000,1
856706,"117 JEFFREY, SAN ANTONIO, TX 78201",1930,1578,181758,112736,1
856707,"139 JEFFREY, SAN ANTONIO, TX 78201",1930,1456,255250,147910,0
856708,"141 JEFFREY, SAN ANTONIO, TX 78201",1933,1973,248684,253540,1
856710,"124 JEFFREY, SAN ANTONIO, TX 78201",1927,1276,181545,154727,1
856711,"128 JEFFREY, SAN ANTONIO, TX 78201",1927,1322,194093,202040,1
856712,"120 JEFFREY, SAN ANTONIO, TX 78201",1927,1466,314881,296050,1
856822,"1943 W FRENCH PL, SAN ANTONIO, TX 78201",1949,3787,549045,618000,1
856824,"1918 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1940,1763,341428,235000,0
856825,"1932 W HUISACHE AVE, SAN ANTONIO, TX 78201",1927,1540,366002,310000,1
856827,"1935 W HUISACHE AVE, SAN ANTONIO, TX 78201",1945,1810,347645,361590,1
856828,"1834 W MAGNOLIA AVE, SAN ANTONIO, TX 78201",1930,1792,369000,324560,1
856829,"1934 W MAGNOLIA AVE, SAN ANTONIO, TX 78201",1930,1440,185462,189572,1
856830,"1915 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1928,1482,299739,242630,1
856831,"1943 W MAGNOLIA AVE, SAN ANTONIO, TX 78201",1927,1486,337397,294080,1
856832,"2006 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1951,1274,281070,237799,1
856833,"1811 W HUISACHE AVE, SAN ANTONIO, TX 78201",1934,1268,276623,224540,1
856834,"2019 W FRENCH PL, SAN ANTONIO, TX 78201",1986,3054,468554,332208,0
856835,"1931 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1940,1526,156236,152000,1
856836,"1843 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1936,1470,305978,256000,1
856837,"1839 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1939,1878,398363,315867,0
856838,"1835 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1953,1024,170292,179109,1
856839,"1831 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1948,1200,268747,213598,1
856840,"1846 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1925,1422,297767,239120,1
856841,"1842 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1957,1468,365565,283550,0
856842,"1838 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1941,1382,261740,195688,1
856843,"1827 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1960,1644,348382,288658,1
856844,"1834 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1946,1742,301830,227126,1
856845,"1830 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1939,1454,350472,296820,1
901306,"410 FURR DR, SAN ANTONIO, TX 78201",1940,1825,294976,291000,1
901307,"1915 W KINGS HWY, SAN ANTONIO, TX 78201",1928,1509,386291,357500,1
901308,"411 FURR DR, SAN ANTONIO, TX 78201",1928,1292,202219,263170,1
901309,"514 DONALDSON AVE, SAN ANTONIO, TX 78201",1935,1606,314994,303120,1
901310,"319 MARY LOUISE DR, SAN ANTONIO, TX 78201",1935,2359,465403,435000,1
901311,"2007 W SUMMIT AVE, SAN ANTONIO, TX 78201",1950,1217,330161,293113,1
901312,"2009 W MULBERRY AVE, SAN ANTONIO, TX 78201",1924,1252,429470,415730,1
901313,"347 FURR DR, SAN ANTONIO, TX 78201",1925,2176,392003,393250,1
901314,"527 DONALDSON AVE, SAN ANTONIO, TX 78201",1996,1802,284841,322000,1
901315,"2116 W SUMMIT AVE, SAN ANTONIO, TX 78201",1958,2609,525242,502150,1
901316,"462 MARY LOUISE DR, SAN ANTONIO, TX 78201",1936,2994,547719,545000,1
901317,"2026 W KINGS HWY, SAN ANTONIO, TX 78201",1938,1612,340121,314360,1
901318,"2022 W KINGS HWY, SAN ANTONIO, TX 78201",1925,1368,250562,242210,1
901319,"2125 W GRAMERCY PL, SAN ANTONIO, TX 78201",1934,3821,819938,789030,1
901320,"2141 W GRAMERCY PL, SAN ANTONIO, TX 78201",1947,3022,525301,505500,1
901321,"2130 W GRAMERCY PL, SAN ANTONIO, TX 78201",1930,4345,645762,621420,1
901322,"2140 W GRAMERCY PL, SAN ANTONIO, TX 78201",1940,2576,589730,555935,1
901323,"2115 W GRAMERCY PL, SAN ANTONIO, TX 78201",1954,2414,420250,456500,1
901324,"2146 W GRAMERCY PL, SAN ANTONIO, TX 78201",1944,2765,525457,470000,1
901325,"2151 W GRAMERCY PL, SAN ANTONIO, TX 78201",1943,4400,533822,505683,1
901326,"2109 W GRAMERCY PL, SAN ANTONIO, TX 78201",1937,2334,391000,539660,0
901327,"2112 W GRAMERCY PL, SAN ANTONIO, TX 78201",1954,3041,513792,585250,1
901328,"2157 W GRAMERCY PL, SAN ANTONIO, TX 78201",1947,2818,586093,536030,1
901587,"1529 MARDELL ST, SAN ANTONIO, TX 78201",1949,1436,253622,178354,0
901588,"1527 THORAIN BLVD, SAN ANTONIO, TX 78201",1952,1392,224214,202560,1
901589,"1639 W MARIPOSA DR, SAN ANTONIO, TX 78201",1924,1092,171922,140384,1
901590,"1505 ALHAMBRA, SAN ANTONIO, TX 78201",1946,1068,154668,166620,1
901591,"1607 ALHAMBRA, SAN ANTONIO, TX 78201",1942,1191,208925,133183,0
901592,"1730 ALHAMBRA, SAN ANTONIO, TX 78201",1948,840,195888,103686,0
901593,"1439 ALHAMBRA, SAN ANTONIO, TX 78201",1948,1158,202835,183250,1
901594,"1407 HERMINE BLVD, SAN ANTONIO, TX 78201",1964,1344,245275,222662,1
901595,"1612 MARDELL ST, SAN ANTONIO, TX 78201",1942,808,207958,110481,0
901596,"1401 THORAIN BLVD, SAN ANTONIO, TX 78201",1960,772,191342,94153,0
901597,"1539 THORAIN BLVD, SAN ANTONIO, TX 78201",1952,1174,193893,149944,1
901598,"1434 HERMINE BLVD, SAN ANTONIO, TX 78201",1961,928,155949,168000,1
901599,"1531 HERMINE BLVD, SAN ANTONIO, TX 78201",1928,528,109980,74725,1
901600,"1523 HERMINE BLVD, SAN ANTONIO, TX 78201",1950,826,198918,153210,1
901601,"1519 HERMINE BLVD, SAN ANTONIO, TX 78201",1947,1330,219111,150583,1
901602,"1539 HERMINE BLVD, SAN ANTONIO, TX 78201",1951,868,172375,139997,1
901603,"1515 HERMINE BLVD, SAN ANTONIO, TX 78201",1947,1205,214030,135519,0
901604,"1511 HERMINE BLVD, SAN ANTONIO, TX 78201",1947,1054,170019,123910,1
901605,"1507 HERMINE BLVD, SAN ANTONIO, TX 78201",1946,1008,164860,120150,1
901606,"1526 HERMINE BLVD, SAN ANTONIO, TX 78201",1950,1022,159876,172230,1
901607,"1530 HERMINE BLVD, SAN ANTONIO, TX 78201",1948,1555,152825,153840,1
901608,"1522 HERMINE BLVD, SAN ANTONIO, TX 78201",1950,841,117305,90946,1
901779,"1027 THORAIN BLVD, SAN ANTONIO, TX 78201",1950,1470,218535,232150,1
901782,"1038 W WILDWOOD DR, SAN ANTONIO, TX 78201",1947,780,164278,143020,1
901785,"923 W HERMOSA DR, SAN ANTONIO, TX 78201",1947,1000,168671,145000,1
901790,"3103 MICHIGAN AVE, SAN ANTONIO, TX 78201",1946,1208,228250,221463,1
901802,"635 KAMPMANN BLVD, SAN ANTONIO, TX 78201",1939,2136,394009,390000,1
901805,"2346 W HUISACHE AVE, SAN ANTONIO, TX 78201",1948,2352,474117,409057,1
901806,"2393 W MULBERRY AVE, SAN ANTONIO, TX 78201",1945,1656,293652,315420,1
901807,"1506 CINCINNATI AVE, SAN ANTONIO, TX 78201",1930,1788,204556,231330,1
901812,"611 KAMPMANN BLVD, SAN ANTONIO, TX 78201",1938,2482,450000,470000,1
901813,"2231 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1939,1744,294037,232820,1
901814,"2219 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1939,1269,278750,150000,0
901815,"2235 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1940,888,154250,165210,1
901816,"2239 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1940,978,168661,133100,1
901817,"2215 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1948,1640,242727,206670,1
901818,"2241 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1948,1764,345648,289190,1
901819,"2211 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1940,1648,243261,201000,1
901820,"2207 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1940,1481,243055,199761,1
901821,"2247 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1940,1311,241024,205220,1
901822,"2253 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1949,1789,263910,217720,1
901825,"1711 KENTUCKY AVE, SAN ANTONIO, TX 78201",1942,994,190415,129083,1
901828,"418 NEFF, SAN ANTONIO, TX 78201",1941,912,118991,116740,1
901830,"402 NEFF, SAN ANTONIO, TX 78201",1944,912,119124,116870,1
901832,"1819 KENTUCKY AVE, SAN ANTONIO, TX 78201",1939,1046,212998,188070,1
901952,"1314 ALHAMBRA, SAN ANTONIO, TX 78201",1954,1000,161299,133187,1
901958,"1510 W WILDWOOD DR, SAN ANTONIO, TX 78201",1950,872,130748,169960,1
901959,"1919 W WILDWOOD DR, SAN ANTONIO, TX 78201",1937,1456,247987,235000,1
901961,"1925 W WILDWOOD DR, SAN ANTONIO, TX 78201",1937,960,188856,158290,1
901962,"1707 EL MONTE BLVD, SAN ANTONIO, TX 78201",1956,707,147835,145370,1
901963,"1711 EL MONTE BLVD, SAN ANTONIO, TX 78201",1954,1014,187958,134596,1
901965,"1704 EL MONTE BLVD, SAN ANTONIO, TX 78201",1941,1334,240039,193443,1
901966,"1708 EL MONTE BLVD, SAN ANTONIO, TX 78201",1941,922,188067,147282,1
901967,"1712 EL MONTE BLVD, SAN ANTONIO, TX 78201",1941,1284,229385,202760,1
901968,"1716 EL MONTE BLVD, SAN ANTONIO, TX 78201",1941,1318,218173,103469,0
901969,"1729 EL MONTE BLVD, SAN ANTONIO, TX 78201",1949,914,158706,152060,1
901970,"1720 EL MONTE BLVD, SAN ANTONIO, TX 78201",1941,921,206403,165000,1
901971,"1731 EL MONTE BLVD, SAN ANTONIO, TX 78201",1949,572,148282,103600,1
901974,"210 BABCOCK RD, SAN ANTONIO, TX 78201",1951,1594,324881,258000,1
902212,"1557 W MAGNOLIA AVE, SAN ANTONIO, TX 78201",1922,1907,316000,405000,0
902213,"318 PRINCETON AVE, SAN ANTONIO, TX 78201",1949,1395,175174,104526,1
902214,"1125 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1920,1923,356872,294287,1
902215,"1539 W ASHBY PL, SAN ANTONIO, TX 78201",1950,1212,241871,156734,0
902216,"1442 W CRAIG PL, SAN ANTONIO, TX 78201",1926,1284,258096,261070,1
902217,"1434 W CRAIG PL, SAN ANTONIO, TX 78201",1932,1053,241272,170000,1
902218,"1446 W CRAIG PL, SAN ANTONIO, TX 78201",1929,1580,243029,214500,1
902219,"1430 W CRAIG PL, SAN ANTONIO, TX 78201",1926,1566,289700,176120,0
902220,"1443 W CRAIG PL, SAN ANTONIO, TX 78201",1925,1402,257039,260000,1
902221,"1431 W CRAIG PL, SAN ANTONIO, TX 78201",1930,1500,239997,174418,1
902222,"1447 W CRAIG PL, SAN ANTONIO, TX 78201",1935,1020,271373,239869,1
902223,"1451 W CRAIG PL, SAN ANTONIO, TX 78201",1922,1367,256194,167769,0
902224,"1539 W FRENCH PL, SAN ANTONIO, TX 78201",1945,856,121882,86984,1
902498,"1426 W WILDWOOD DR, SAN ANTONIO, TX 78201",1951,894,192000,108000,0
902499,"1615 LEE HALL, SAN ANTONIO, TX 78201",1949,990,248712,161840,0
902500,"1342 LEE HALL, SAN ANTONIO, TX 78201",1948,1040,218021,212130,1
902501,"1720 LEE HALL, SAN ANTONIO, TX 78201",1926,1016,181577,176140,1
902505,"1410 ALAMETOS, SAN ANTONIO, TX 78201",1963,1116,171749,120503,1
902506,"1531 W WILDWOOD DR, SAN ANTONIO, TX 78201",1924,1129,190883,110096,0
902507,"1523 W WILDWOOD DR, SAN ANTONIO, TX 78201",1926,1056,234576,165960,1
902508,"1535 W WILDWOOD DR, SAN ANTONIO, TX 78201",1926,976,179144,183270,1
902509,"1519 W WILDWOOD DR, SAN ANTONIO, TX 78201",1926,888,229021,114490,0
902510,"1539 W WILDWOOD DR, SAN ANTONIO, TX 78201",1947,900,201897,142840,1
902511,"1515 W WILDWOOD DR, SAN ANTONIO, TX 78201",1947,858,223297,157980,1
902512,"1509 W WILDWOOD DR, SAN ANTONIO, TX 78201",1947,717,207085,110673,0
902513,"1507 W WILDWOOD DR, SAN ANTONIO, TX 78201",1936,752,197148,118943,0
902514,"1526 W WILDWOOD DR, SAN ANTONIO, TX 78201",1945,1086,194797,178970,1
902515,"1530 W WILDWOOD DR, SAN ANTONIO, TX 78201",1940,1897,232697,180362,1
902783,"1802 CINCINNATI AVE, SAN ANTONIO, TX 78201",1943,2566,446026,408000,1
902787,"2711 W FRENCH PL, SAN ANTONIO, TX 78201",1940,1419,229425,224130,1
903013,"307 VIENDO, SAN ANTONIO, TX 78201",1948,1188,224805,197750,1
903014,"927 PASADENA, SAN ANTONIO, TX 78201",1999,1155,216981,199723,1
903015,"1422 SAN FRANCISCO, SAN ANTONIO, TX 78201",1925,744,100424,100000,1
903017,"1414 W HOLLYWOOD AVE, SAN ANTONIO, TX 78201",1948,1080,167839,121169,1
903018,"947 W ROSEWOOD AVE, SAN ANTONIO, TX 78201",1949,1342,242757,255760,1
903019,"1410 SAN FRANCISCO, SAN ANTONIO, TX 78201",1940,1132,167431,195310,1
903020,"1331 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1940,1009,165521,180970,1
903021,"1102 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1920,1640,331320,331240,1
903022,"1110 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1922,836,224514,180620,1
903023,"1114 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1927,940,211843,223190,1
903024,"1118 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1922,1502,367569,308792,1
903025,"1122 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1929,1606,376134,310610,1
903026,"1107 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1949,1598,360729,304810,1
903027,"1111 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1916,941,188101,145000,1
903028,"1101 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1940,1148,224752,228085,1
903029,"1126 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1924,984,185777,150000,1
903030,"1115 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1950,980,212746,185830,1
1045196,"2318 CLOWER, SAN ANTONIO, TX 78201",1942,1314,203329,210000,1
1045198,"1006 W HERMOSA DR, SAN ANTONIO, TX 78201",1970,1532,334134,185664,0
1045199,"2319 LEE HALL, SAN ANTONIO, TX 78201",1945,1192,261083,137533,0
1045200,"1246 W HERMOSA DR, SAN ANTONIO, TX 78201",1973,1222,185739,133310,1
1045201,"2303 W WILDWOOD DR, SAN ANTONIO, TX 78201",1945,1628,261750,268310,1
1045202,"2320 LEE HALL, SAN ANTONIO, TX 78201",1948,1264,223377,202010,1
1045203,"630 VEREDA, SAN ANTONIO, TX 78201",1988,1178,197090,194000,1
1045204,"1403 W HERMOSA DR, SAN ANTONIO, TX 78201",2012,932,211000,151828,1
1045205,"2214 W WILDWOOD DR, SAN ANTONIO, TX 78201",1950,783,160355,120000,1
1045207,"2111 W HERMOSA DR, SAN ANTONIO, TX 78201",1949,1250,210170,128272,0
1045208,"2025 W HERMOSA DR, SAN ANTONIO, TX 78201",1947,954,192089,161000,1
